product_category;total_orders;total_revenue
beleza_saude;9465;131852128
relogios_presentes;5859;122058392
cama_mesa_banho;10953;121376778
informatica_acessorios;7644;110818967
esporte_lazer;8431;104750642
moveis_decoracao;8160;90642980
utilidades_domesticas;6795;73183419
automotivo;4140;64805552
cool_stuff;3718;63139395
ferramentas_jardim;4268;56432089
brinquedos;4030;49479186
bebes;2982;42405274
perfumaria;3340;41087006
moveis_escritorio;1668;38598474
telefonia;4430;34583407
pcs;199;24330107
papelaria;2466;23820828
pet_shop;1924;23499172
instrumentos_musicais;651;19205763
eletroportateis;658;19094068
